Fiscal Week,MyWay,MyWay %,Paper Ticket,Paper Ticket %,Total
22/04/2024,208929,0.980160257,4229,0.019839743,213158
29/04/2024,299765,0.986890406,3982,0.013109594,303747
6/05/2024,301302,0.987807397,3719,0.012192603,305021
13/05/2024,302456,0.98830203,3580,0.01169797,306036
20/05/2024,294276,0.986397796,4058,0.013602204,298334
27/05/2024,245890,0.986935319,3255,0.013064681,249145
3/06/2024,281105,0.986807694,3758,0.013192306,284863
10/06/2024,244372,0.986787485,3272,0.013212515,247644
17/06/2024,271581,0.987394927,3467,0.012605073,275048
24/06/2024,266447,0.986606878,3617,0.013393122,270064
1/07/2024,247639,0.984757746,3833,0.015242254,251472
8/07/2024,215426,0.980122387,4369,0.019877613,219795
15/07/2024,213195,0.98235679,3829,0.01764321,217024
22/07/2024,286399,0.987024579,3765,0.012975421,290164
29/07/2024,299590,0.988312061,3543,0.011687939,303133
5/08/2024,298243,0.987700235,3714,0.012299765,301957
12/08/2024,296347,0.987303354,3811,0.012696646,300158
19/08/2024,290068,0.986729893,3901,0.013270107,293969
26/08/2024,294039,0.987367403,3762,0.012632597,297801
2/09/2024,281552,0.987063616,3690,0.012936384,285242
9/09/2024,282524,0.986129048,3974,0.013870952,286498
16/09/2024,211035,0.988463592,2463,0.011536408,213498
23/09/2024,2289,0.999127019,2,0.000872981,2291
