DATE,NUM_CRASHES,time,day,month,ph,school_holiday,holiday,day2,month2,z,z_diff,pred.seacf,pred.aic,pred.sar,pred.asar,naive,roll.2.seacf,roll.1.seacf,roll.2.aic,roll.1.aic,roll.2.sar,roll.1.sar,roll.2.asar,roll.1.asar,roll.naive
2017-07-01,12,913,Sat,Jul,0,1,School Holiday,Sat,Jul,2.46410161513775,-1.11847407981809,13.1947500397759,13.2057814550262,14.9493489566703,17.7845568125104,21,13.5103138149897,10.0431553753779,13.5217727160417,10.1070535841888,21.223019144453,21.3361197335944,17.6379872046356,17.1646807060376,21
2017-07-02,8,914,Sun,Jul,0,1,School Holiday,Sun,Jul,1.82842712474619,-0.635674490391564,10.5269077615368,10.4064427153411,11.6571697548483,15.2437257802085,21,10.3180118793351,8.20874630695802,10.2004716037171,8.10956369959926,13.0190695274557,13.2570875119817,13.3226315582655,13.3171881281855,12
2017-07-03,22,915,Mon,Jul,0,1,School Holiday,Mon,Jul,3.69041575982343,1.86198863507724,19.9316474118685,19.9035247681373,19.7943614813405,25.0917295345688,21,19.730344725379,17.7964792038889,19.6783919102318,17.8297609150419,17.7855063312066,17.8302913223479,22.081426588719,22.2165582429841,8
2017-07-04,17,916,Tue,Jul,0,1,School Holiday,Tue-Wed,Jul,3.12310562561766,-0.567310134205769,22.0297461837899,22.0247412625875,23.5323632075561,23.2278748553958,21,22.2601319787416,21.0627597196895,22.1676137750319,20.9853277257622,20.8432456699114,20.9157943876064,22.2886862185759,22.4969745659533,22
2017-07-05,29,917,Wed,Jul,0,1,School Holiday,Tue-Wed,Jul,4.3851648071345,1.26205918151684,22.0297461837899,22.0288991571211,24.168803151083,22.8613555057614,21,20.8298111422088,18.9363953411352,20.8820481069465,19.0614835809377,17.6679207214648,17.8309431437236,20.8349038072346,21.0909310169218,17
2017-07-06,18,918,Thu,Jul,0,1,School Holiday,Thu-Fri,Jul,3.24264068711929,-1.14252412001522,22.9723304490813,22.972184070446,25.1054454605031,23.9768564329622,21,24.6704115765334,24.2774795008356,24.5303625322935,24.0775981195411,25.4827790513607,25.5628723514363,25.9103001818603,26.2682534841639,29
2017-07-07,23,919,Fri,Jul,0,1,School Holiday,Thu-Fri,Jul,3.79583152331272,0.553190836193434,22.9723304490813,22.9723056772785,24.7117197979453,22.016480822037,21,22.133953137943,21.2383225472942,22.3139191404439,21.4575877318627,18.5131127137367,18.6898763394965,20.1370076512478,20.1524754964969,18
2017-07-08,18,920,Sat,Jul,0,1,School Holiday,Sat,Jul,3.24264068711929,-0.553190836193434,14.0174632372531,14.0174599625703,15.4888129974037,20.31290906221,21,14.1608027652322,13.2479660364722,14.0259879174082,13.143562096661,18.5090799291862,18.876317828658,18.5271809189912,18.7444720897863,23
2017-07-09,14,921,Sun,Jul,0,1,School Holiday,Sun,Jul,2.74165738677394,-0.500983300345343,10.5269077615368,10.5269072812902,11.8041615786378,15.265349694785,21,10.9222219742254,10.2129447435148,10.9443023425299,10.2014150036014,17.6014875579873,17.5928716393782,12.5146308064422,12.0223079811854,18
2017-07-10,27,922,Mon,Jul,0,1,School Holiday,Mon,Jul,4.19615242270663,1.45449503593269,19.9316474118685,19.9316473000369,19.9151771344054,23.445877939096,21,21.0576692339128,21.2442725710108,21.1763805351609,21.3192649536769,19.1980367580681,19.2882775069742,23.1383083317608,23.726331835917,14
2017-07-11,24,923,Tue,Jul,0,1,School Holiday,Tue-Wed,Jul,3.89897948556636,-0.297172937140276,22.0297461837899,22.0297461638934,23.6450870751515,21.6777898293607,21,23.0897354564565,23.2119805961044,23.2085853335192,23.2814273041487,21.7502365701933,21.7565665418727,20.9866114213419,21.2156159655927,27
2017-07-12,22,924,Wed,Jul,0,1,School Holiday,Tue-Wed,Jul,3.69041575982343,-0.208563725742926,22.0297461837899,22.0297461804228,24.2731255723568,20.5124352655295,21,22.3651833390205,22.656225681409,22.5131684663584,22.7789208699658,24.3423301099793,24.4172285238159,23.4403694257142,23.3695095194764,24
2017-07-13,26,925,Thu,Jul,0,1,School Holiday,Thu-Fri,Jul,4.09901951359278,0.408603753769355,22.9723304490813,22.9723304484994,25.203544960757,23.1281795177162,21,23.5632615774404,24.175399962014,23.5859271321843,24.1930244937221,18.8962287803461,19.2018884435675,21.292540005317,21.8138795773935,22
2017-07-14,18,926,Fri,Jul,0,1,School Holiday,Thu-Fri,Jul,3.24264068711929,-0.8563788264735,22.9723304490813,22.9723304489828,24.8017507540068,21.0756620470039,21,24.051608471338,24.7160245541451,24.0447773696659,24.6928063917527,23.5213961718619,23.4702648589959,22.7276459806163,22.7791744419697,26
2017-07-15,13,927,Sat,Jul,0,1,School Holiday,Sat,Jul,2.60555127546399,-0.637089411655296,14.0174632372531,14.01746323724,15.5553061429423,19.7334458404375,21,13.5930294265986,13.8034679435458,13.6343140363765,13.8612664116295,19.1244229641822,19.2318177947536,16.2438156662617,15.7941839545101,18
2017-07-16,9,928,Sun,Jul,0,1,School Holiday,Sun,Jul,2,-0.605551275463989,10.5269077615368,10.5269077615349,11.8581306892895,17.5219828190561,21,10.4977705433687,10.3739423919756,10.3877294972755,10.2757289897969,16.6903581173664,16.7964564849695,13.3501094585432,12.8302334156254,13
2017-07-17,28,929,Mon,Jul,0,0,None,Mon,Jul,4.29150262212918,2.29150262212918,25.3195565712758,25.3195565712753,19.9794585954887,22.5141674359785,21,26.6521543994069,27.8572241050577,26.6285326603766,27.8496421142192,17.8889616527473,17.706501345258,20.3518055700301,20.1722227590226,9
